transect,quadrat,tidal,lat,lon,starfish (#/m2),barnacle (#/m2),mussel (#/m2),algae_stalks,algae_percent,starfish_percent,barnacle_percent,mussel_percent,barnacle_species,mussel_species,starfish_species,algae_species
2,1,low,48.834188,-125.147396,0,0,0,NA,95%,0,0%,0,,,,fucus distichus
2,2,low,48.834188,-125.147396,0,0,0,,98%,0,0%,0,,,,fucus distichus
2,3,low,48.834188,-125.147396,0,0,0,,96%,0,0%,0,,,,fucus distichus
2,4,low,48.834188,-125.147396,0,3.68,0,,88%,0,4%,0,Semibalanus balanoides,,,fucus distichus
2,5,low,48.834188,-125.147396,4,11.76,0,,58%,1.00%,14%,0,Semibalanus balanoides,,pisaster ochraceus,fucus distichus & sargassum
2,6,low,48.834188,-125.147396,0.36,530,0,,63%,3%,53%,0,Semibalanus balanoides,,pisaster ochraceus,fucus distichus
2,7,low,48.834188,-125.147396,4,444.88,46.2,,75%,1.00%,67%,33%,Semibalanus balanoides,Mytilus edulis,pisaster ochraceus,fucus distichus
2,8,low,48.834188,-125.147396,0,1029.2,567.84,,70%,0,62%,78%,Semibalanus balanoides,Mytilus edulis,,fucus distichus
2,9,low,48.834188,-125.147396,0,788.64,126,,42%,0,62%,45%,"Semibalanus balanoides, Gooseneck","Mytilus edulis, Mytilus californianus",,fucus distichus
2,10,low,48.834188,-125.147396,0,814.08,770.8,,11%,0,96%,82%,"Semibalanus balanoides, Gooseneck","Mytilus edulis, Mytilus californianus",,fucus distichus
2,11,low,48.834188,-125.147396,0,528.52,483.36,,51%,0,73%,76%,"Semibalanus balanoides, Gooseneck","Mytilus edulis, Mytilus californianus",,fucus distichus
2,12,high,48.834344,-125.147074,0,256.32,501.76,,60%,0,72%,98%,"Semibalanus balanoides, Gooseneck","Mytilus edulis, Mytilus californianus",,fucus distichus
2,13,high,48.834344,-125.147074,0,597.52,526.4,,92%,0,97%,94%,Semibalanus balanoides,"Mytilus edulis, Mytilus californianus",,fucus distichus
2,14,high,48.834344,-125.147074,0,1259.28,80.64,,93%,0,99%,63%,Semibalanus balanoides,"Mytilus edulis, Mytilus californianus",,fucus distichus
2,15,high,48.834344,-125.147074,0,1800,48.72,,89%,0,100%,58%,Semibalanus balanoides,Mytilus edulis,,fucus distichus
2,16,high,48.834344,-125.147074,0,2217.6,17.16,,98%,0,99%,13%,Semibalanus balanoides,Mytilus edulis,,fucus distichus
2,17,high,48.834344,-125.147074,0,4400,0.6,,91%,0,100%,5%,Semibalanus balanoides,Mytilus edulis,,fucus distichus
2,18,high,48.834344,-125.147074,0,1680,2.16,,99%,0,100%,6%,Semibalanus balanoides,Mytilus edulis,,fucus distichus
2,19,high,48.834344,-125.147074,0,8160,0.12,,93%,0,100%,3%,Semibalanus balanoides,Mytilus edulis,,fucus distichus
2,20,high,48.834344,-125.147074,0,2800,2.16,,86%,0,100%,9%,Semibalanus balanoides,Mytilus edulis,,fucus distichus
